"id"|"public_id"|"profile_id"|"name"|"skill_type"|"description"|"featured"|"display_order"|"created_date"|"last_modified_date"
""|""|"1"|"Systems Analysis"|"TECHNICAL"|"Investigating production problems, enhancements and system impacts to define reliable and maintainable solutions."|"true"|"1"|""|""
""|""|"1"|"Requirements Engineering"|"TECHNICAL"|"Translating business and clinical needs into system requirements, workflows, rules and acceptance criteria."|"true"|"2"|""|""
""|""|"1"|"Java"|"TECHNICAL"|"Developing backend and service-oriented applications using Java."|"true"|"3"|""|""
""|""|"1"|"Spring Boot"|"TECHNICAL"|"Building modular backend services and REST APIs with Spring Boot."|"true"|"4"|""|""
""|""|"1"|"Angular"|"TECHNICAL"|"Developing responsive web interfaces and integrating them with backend APIs."|"true"|"5"|""|""
""|""|"1"|"TypeScript"|"TECHNICAL"|"Implementing typed and maintainable client-side application logic."|"true"|"6"|""|""
""|""|"1"|"REST API Design"|"TECHNICAL"|"Designing secure, clear and maintainable REST endpoints and data contracts."|"true"|"7"|""|""
""|""|"1"|"PostgreSQL"|"TECHNICAL"|"Designing relational schemas and working with PostgreSQL data and queries."|"true"|"8"|""|""
""|""|"1"|"Liquibase"|"TECHNICAL"|"Managing versioned database schema changes and repeatable seed data."|"true"|"9"|""|""
""|""|"1"|"Docker"|"TECHNICAL"|"Containerising application services and supporting local and cloud-ready delivery."|"true"|"10"|""|""
""|""|"1"|"Functional Testing"|"TECHNICAL"|"Creating test scenarios, validating expected behaviour and supporting defect investigation."|"false"|"11"|""|""
""|""|"1"|"Data and Process Mapping"|"TECHNICAL"|"Mapping data, workflows and process dependencies to support solution design."|"false"|"12"|""|""
""|""|"1"|"Clinical and Funding-Rule Interpretation"|"TECHNICAL"|"Interpreting healthcare, clinical and funding rules for consistent system implementation."|"false"|"13"|""|""
""|""|"1"|"Flutter"|"TECHNICAL"|"Developing mobile interfaces and integrating Flutter applications with secured APIs."|"false"|"14"|""|""
""|""|"1"|"Unity"|"TECHNICAL"|"Building gameplay features and interactive systems in Unity using C#."|"false"|"15"|""|""
""|""|"1"|"Git and GitHub"|"TECHNICAL"|"Managing source control, branches and remote repositories with Git and GitHub."|"false"|"16"|""|""
""|""|"1"|"Complex Problem Investigation"|"SOFT"|"Approaching difficult problems methodically to identify root causes and practical solutions."|"true"|"17"|""|""
""|""|"1"|"Structured Decision-Making"|"SOFT"|"Evaluating evidence, constraints and impact before recommending a course of action."|"true"|"18"|""|""
""|""|"1"|"Stakeholder Facilitation"|"SOFT"|"Guiding focused discussions across business, clinical and technical stakeholders."|"true"|"19"|""|""
""|""|"1"|"Quality Focus"|"SOFT"|"Maintaining close attention to accuracy, testability and reliable delivery."|"true"|"20"|""|""
""|""|"1"|"Cross-Team Coordination"|"SOFT"|"Coordinating work and clarifications across analysis, development, testing and business teams."|"true"|"21"|""|""
""|""|"1"|"Calm Under Pressure"|"SOFT"|"Remaining composed and methodical when resolving urgent or complex issues."|"true"|"22"|""|""
""|""|"1"|"Independent Ownership"|"SOFT"|"Taking responsibility for work from investigation through validation and completion."|"true"|"23"|""|""
""|""|"1"|"Team Contribution"|"SOFT"|"Contributing constructively to shared outcomes and supporting colleagues when needed."|"false"|"24"|""|""
""|""|"1"|"Knowledge Sharing"|"SOFT"|"Explaining systems clearly and sharing practical knowledge through guidance and documentation."|"false"|"25"|""|""
""|""|"1"|"Practical Creativity"|"SOFT"|"Combining structured thinking with creative, workable approaches to solution design."|"false"|"26"|""|""
""|""|"1"|"Accountability"|"SOFT"|"Following through on commitments and maintaining clear ownership of outcomes."|"true"|"27"|""|""
